Temperature,Year,Month,Country,ISO3
24.34,1984,Sep,Kenya,KEN
24.72,1984,Oct,Kenya,KEN
23.8,1984,Nov,Kenya,KEN
24.17,1984,Dec,Kenya,KEN
25.42,1985,Jan,Kenya,KEN
25.98,1985,Feb,Kenya,KEN
25.88,1985,Mar,Kenya,KEN
24.43,1985,Apr,Kenya,KEN
23.98,1985,May,Kenya,KEN
23.39,1985,Jun,Kenya,KEN
22.86,1985,Jul,Kenya,KEN
23.07,1985,Aug,Kenya,KEN
24.14,1985,Sep,Kenya,KEN
24.81,1985,Oct,Kenya,KEN
24.54,1985,Nov,Kenya,KEN
24.96,1985,Dec,Kenya,KEN
25.61,1986,Jan,Kenya,KEN
26.57,1986,Feb,Kenya,KEN
26.13,1986,Mar,Kenya,KEN
24.9,1986,Apr,Kenya,KEN
24.32,1986,May,Kenya,KEN
23.44,1986,Jun,Kenya,KEN
22.82,1986,Jul,Kenya,KEN
23.29,1986,Aug,Kenya,KEN
24.16,1986,Sep,Kenya,KEN
25.31,1986,Oct,Kenya,KEN
24.71,1986,Nov,Kenya,KEN
24.39,1986,Dec,Kenya,KEN
25.32,1987,Jan,Kenya,KEN
26.36,1987,Feb,Kenya,KEN
27.14,1987,Mar,Kenya,KEN
25.82,1987,Apr,Kenya,KEN
25.0,1987,May,Kenya,KEN
23.81,1987,Jun,Kenya,KEN
23.79,1987,Jul,Kenya,KEN
23.76,1987,Aug,Kenya,KEN
25.17,1987,Sep,Kenya,KEN
26.17,1987,Oct,Kenya,KEN
25.64,1987,Nov,Kenya,KEN
26.07,1987,Dec,Kenya,KEN
26.46,1988,Jan,Kenya,KEN
27.19,1988,Feb,Kenya,KEN
27.23,1988,Mar,Kenya,KEN
25.3,1988,Apr,Kenya,KEN
25.14,1988,May,Kenya,KEN
23.95,1988,Jun,Kenya,KEN
23.41,1988,Jul,Kenya,KEN
23.72,1988,Aug,Kenya,KEN
24.05,1988,Sep,Kenya,KEN
25.16,1988,Oct,Kenya,KEN
24.55,1988,Nov,Kenya,KEN
24.4,1988,Dec,Kenya,KEN
25.06,1989,Jan,Kenya,KEN
25.58,1989,Feb,Kenya,KEN
26.07,1989,Mar,Kenya,KEN
24.47,1989,Apr,Kenya,KEN
24.22,1989,May,Kenya,KEN
23.71,1989,Jun,Kenya,KEN
23.06,1989,Jul,Kenya,KEN
23.06,1989,Aug,Kenya,KEN
24.35,1989,Sep,Kenya,KEN
24.8,1989,Oct,Kenya,KEN
24.26,1989,Nov,Kenya,KEN
24.55,1989,Dec,Kenya,KEN
25.07,1990,Jan,Kenya,KEN
26.06,1990,Feb,Kenya,KEN
25.03,1990,Mar,Kenya,KEN
24.68,1990,Apr,Kenya,KEN
24.99,1990,May,Kenya,KEN
23.84,1990,Jun,Kenya,KEN
23.17,1990,Jul,Kenya,KEN
23.5,1990,Aug,Kenya,KEN
24.49,1990,Sep,Kenya,KEN
24.97,1990,Oct,Kenya,KEN
24.79,1990,Nov,Kenya,KEN
24.23,1990,Dec,Kenya,KEN
25.36,1991,Jan,Kenya,KEN
26.82,1991,Feb,Kenya,KEN
26.63,1991,Mar,Kenya,KEN
25.72,1991,Apr,Kenya,KEN
24.96,1991,May,Kenya,KEN
24.06,1991,Jun,Kenya,KEN
22.89,1991,Jul,Kenya,KEN
23.08,1991,Aug,Kenya,KEN
24.1,1991,Sep,Kenya,KEN
25.0,1991,Oct,Kenya,KEN
24.73,1991,Nov,Kenya,KEN
24.88,1991,Dec,Kenya,KEN
25.62,1992,Jan,Kenya,KEN
26.61,1992,Feb,Kenya,KEN
27.0,1992,Mar,Kenya,KEN
25.92,1992,Apr,Kenya,KEN
25.12,1992,May,Kenya,KEN
24.38,1992,Jun,Kenya,KEN
23.07,1992,Jul,Kenya,KEN
23.08,1992,Aug,Kenya,KEN
24.1,1992,Sep,Kenya,KEN
24.82,1992,Oct,Kenya,KEN
23.81,1992,Nov,Kenya,KEN
23.81,1992,Dec,Kenya,KEN
24.17,1993,Jan,Kenya,KEN
24.97,1993,Feb,Kenya,KEN
26.09,1993,Mar,Kenya,KEN
25.9,1993,Apr,Kenya,KEN
24.96,1993,May,Kenya,KEN
23.96,1993,Jun,Kenya,KEN
23.09,1993,Jul,Kenya,KEN
23.42,1993,Aug,Kenya,KEN
24.14,1993,Sep,Kenya,KEN
25.09,1993,Oct,Kenya,KEN
24.98,1993,Nov,Kenya,KEN
25.06,1993,Dec,Kenya,KEN
26.25,1994,Jan,Kenya,KEN
26.83,1994,Feb,Kenya,KEN
26.87,1994,Mar,Kenya,KEN
25.92,1994,Apr,Kenya,KEN
24.86,1994,May,Kenya,KEN
24.32,1994,Jun,Kenya,KEN
23.43,1994,Jul,Kenya,KEN
23.66,1994,Aug,Kenya,KEN
24.72,1994,Sep,Kenya,KEN
25.32,1994,Oct,Kenya,KEN
23.89,1994,Nov,Kenya,KEN
24.46,1994,Dec,Kenya,KEN
25.81,1995,Jan,Kenya,KEN
26.33,1995,Feb,Kenya,KEN
26.11,1995,Mar,Kenya,KEN
25.72,1995,Apr,Kenya,KEN
25.21,1995,May,Kenya,KEN
24.68,1995,Jun,Kenya,KEN
23.75,1995,Jul,Kenya,KEN
23.84,1995,Aug,Kenya,KEN
24.6,1995,Sep,Kenya,KEN
25.17,1995,Oct,Kenya,KEN
25.02,1995,Nov,Kenya,KEN
24.93,1995,Dec,Kenya,KEN
25.97,1996,Jan,Kenya,KEN
26.86,1996,Feb,Kenya,KEN
26.43,1996,Mar,Kenya,KEN
26.0,1996,Apr,Kenya,KEN
25.29,1996,May,Kenya,KEN
23.91,1996,Jun,Kenya,KEN
23.16,1996,Jul,Kenya,KEN
23.43,1996,Aug,Kenya,KEN
24.46,1996,Sep,Kenya,KEN
25.34,1996,Oct,Kenya,KEN
24.74,1996,Nov,Kenya,KEN
25.4,1996,Dec,Kenya,KEN
26.26,1997,Jan,Kenya,KEN
26.96,1997,Feb,Kenya,KEN
27.29,1997,Mar,Kenya,KEN
24.6,1997,Apr,Kenya,KEN
24.51,1997,May,Kenya,KEN
24.44,1997,Jun,Kenya,KEN
23.67,1997,Jul,Kenya,KEN
24.24,1997,Aug,Kenya,KEN
25.39,1997,Sep,Kenya,KEN
24.43,1997,Oct,Kenya,KEN
23.59,1997,Nov,Kenya,KEN
24.01,1997,Dec,Kenya,KEN
24.21,1998,Jan,Kenya,KEN
25.85,1998,Feb,Kenya,KEN
26.73,1998,Mar,Kenya,KEN
26.16,1998,Apr,Kenya,KEN
24.99,1998,May,Kenya,KEN
24.11,1998,Jun,Kenya,KEN
22.95,1998,Jul,Kenya,KEN
23.36,1998,Aug,Kenya,KEN
24.32,1998,Sep,Kenya,KEN
25.01,1998,Oct,Kenya,KEN
24.74,1998,Nov,Kenya,KEN
25.46,1998,Dec,Kenya,KEN
26.09,1999,Jan,Kenya,KEN
26.75,1999,Feb,Kenya,KEN
26.29,1999,Mar,Kenya,KEN
25.49,1999,Apr,Kenya,KEN
25.05,1999,May,Kenya,KEN
24.22,1999,Jun,Kenya,KEN
